Title,Company,Rating,Reviews,Experience,Salary,Location,Job_Description,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Posted_On,Category,Exp_Min_Years,Salary_Mid_LPA,City
S&C Global Network - AI - FS Data Management - Specialist,Accenture,4.0,46775  Reviews,5-10 Yrs,Not disclosed,"Mumbai, Hyderabad, Gurugram",Build master data management and data integration strategies to solve business problemE...,python,mdm,cloud azure,data governance,aws,c#,data management,microsoft azure,6 Days Ago,Data_Science_Analytics,5.0,,Mumbai
S&C Global Network - AI - Life Sciences -Data Science Analyst,Accenture,4.0,46775  Reviews,2-5 Yrs,Not disclosed,"Mumbai, Gurugram, Delhi / NCR",Make presentations wherever required to a known audience or client on functional aspect...,data engineering,artificial intelligence,data modeling,data science,data visualization,python,data analysis,data analytics,6 Days Ago,Data_Science_Analytics,2.0,,Mumbai
GN - SONG - MT - Generative AI - Analyst,Accenture,4.0,46775  Reviews,2-4 Yrs,Not disclosed,Mumbai,The Strategy & Consulting Global Network Song Practice| Marketing Transformation| Gener...,ux,presentation skills,marketing,stakeholder management,ui/ux,project management,python,data analysis,5 Days Ago,Data_Science_Analytics,2.0,,Mumbai
Analytics Data science and IOT Lead,Hexaware Technologies,3.7,4830  Reviews,7-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Preferred Location: Bangalore . Total IT experience: 7 to 10 years along with relevant ...,deep learning,data science,Coding,Machine learning,Deployment,Visual Studio,Analytics,SQL,17 Days Ago,Data_Science_Analytics,7.0,,Kolkata
Hiring Data Science Engineer / Lead / Architect !,Xoriant,3.9,1381  Reviews,5-10 Yrs,Not disclosed,"Hybrid - Pune, Bangalore Rural, Mumbai (All Areas)","Relevant certifications (e.g., Azure Data Scientist Associate, AWS Certified Data Analy...",NLP,Generative AI,Machine Learning,Tensorflow,Predictive Modeling,Data Science,AI,Natural Processing Language,9 Days Ago,Data_Science_Analytics,5.0,,Pune
Business Analyst (Trading Domain),Birlasoft,3.8,2379  Reviews,8-10 Yrs,Not disclosed,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Solid experience in Scrum Agile development or Scaled Agile Framework, Jira experience ...",Equity,Exchange traded derivatives,Fixed Income,Hedge Funds,OTC,Trading,Trade,Fix,12 Days Ago,Data_Science_Analytics,8.0,,Pune
S&C Global Network- AI- CFO & EV- Financial Crime Analytics- Manager,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,"Mumbai, Pune, Gurugram","Have Masters degree in mathematics, statistics, economics, or related field or MBA from...",sql,etl,sas,presentation skills,r,aml,jsp,manual testing,16 Days Ago,Data_Science_Analytics,3.0,,Mumbai
S&C Global Network - AI - Risk Analytics - Quantexa - Consultant,Accenture,4.0,46775  Reviews,4-7 Yrs,Not disclosed,"Mumbai, Pune, Gurugram","Experience:- Overall, 4-7 years of experience in Risk and Compliance Analytics domain. ...",python,scala,presentation skills,java,finance,kubernetes,continuous integration,openshift,16 Days Ago,Data_Science_Analytics,4.0,,Mumbai
Hexaware_ Looking Immediate joiners -Data Scientist NLP/GenAI_PanIndia,Hexaware Technologies,3.7,4830  Reviews,4-9 Yrs,Not disclosed,"Hybrid - Navi Mumbai, Pune, Chennai","Experience in version controlling like Github, Bit Bucket, GitLab and must have worked ...",GenAI,LLM,Data Scientist,Transformers,Bert,Machine Learning,Deep Learning,Data Science,21 Days Ago,Data_Science_Analytics,4.0,,Navi Mumbai
Excellent Opportunity For Business Analyst,Synechron,3.7,2394  Reviews,9-14 Yrs,Not disclosed,"Pune, Bengaluru",Experience delivering complex data conversion and migration outcomes Essential: . At le...,Credit Card Domain,Business Analyst,Scrum,Devops,AWS,Credit,Credit cards,Business excellence,5 Days Ago,Data_Science_Analytics,9.0,,Pune
S&C Global Network - AI - Retail Analytics - Consultant,Accenture,4.0,46775  Reviews,5-10 Yrs,Not disclosed,Pune,"Youll work with Accentures certified AWS / Azure/GCP practitioners, and Accenture will ...",cnn,data analysis,natural language processing,machine learning,quantitative analysis,data interpretation,customer relationship,statistical tools,5 Days Ago,Data_Science_Analytics,5.0,,Pune
GN - SONG - MT - Generative AI - Consultant,Accenture,4.0,46775  Reviews,5-10 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",The Strategy & Consulting Global Network Song Practice| Marketing Transformation| Gener...,client engagement,presentation skills,machine learning,marketing,stakeholder management,emerging technologies,python,natural language processing,8 Days Ago,Data_Science_Analytics,5.0,,Mumbai
S&C Global Network - AI - FS Data Management - Manager,Accenture,4.0,46775  Reviews,10-12 Yrs,Not disclosed,"Mumbai, Hyderabad, Bengaluru",Interact with the customer understand the data requirements and build their master data...,data management,data analysis,master data management,artificial intelligence,data governance,project management,python,data analytics,9 Days Ago,Data_Science_Analytics,10.0,,Mumbai
GN - SC&O - S&P - Business Solutions - Analyst,Accenture,4.0,46775  Reviews,1-4 Yrs,Not disclosed,"Mumbai, Bengaluru, Delhi / NCR",Experience in a consulting firm and global exposure is desirable Get involved in supply...,erp,data analytics,data interpretation,sap,presentation skills,project management,oracle,data analysis,9 Days Ago,Data_Science_Analytics,1.0,,Mumbai
S&C Global Network - AI - Supply Chain Analytics - Manager,Accenture,4.0,46775  Reviews,10-12 Yrs,Not disclosed,Mumbai,Ideal candidates should have a bachelors degree preferably in Industrial/ Production/ S...,security compliance,cloud security,information technology,endpoint protection,security engineering,advanced analytics,logistics planning,production,14 Days Ago,Data_Science_Analytics,10.0,,Mumbai
Data Science Engineer,Tata Consultancy Services (TCS),3.8,75004  Reviews,3-8 Yrs,Not disclosed,"Hyderabad, Bangalore Rural, Chennai",Bachelors degree or equivalent experience in Computer Science or related field Required...,Data Science,Artificial Intelligence,Machine Learning,Python,SQL,Machine,Intelligence,Science,Just Now,Data_Science_Analytics,3.0,,Hyderabad
Tech BA,Synechron,3.7,2394  Reviews,3-7 Yrs,Not disclosed,Bengaluru,"Bachelor s degree in Business Administration, Economics, Finance, Computer Science, Inf...",Computer science,Publishing,Business Analyst,Business analysis,Project management,Business planning,Agile,Operations,1 Day Ago,Data_Science_Analytics,3.0,,Bengaluru
Senior Domain Consultant - Banking,Hexaware Technologies,3.7,4830  Reviews,5-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Advising the client on software and process changes required to deliver business outcom...,Training,Test scripts,Business Analyst,System integration,Manager Technology,Project delivery,User acceptance testing,commercial lending,3 Days Ago,Data_Science_Analytics,5.0,,Kolkata
Associate Data Architect,Essenware,4.7,4  Reviews,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Essenware Private Limted is looking for Associate Data Architect to join our dynamic te...,Data Architect,Data architecture,Data,Architecture,,,,,3 Days Ago,Data_Science_Analytics,3.0,,Kolkata
RPA Business Analyst,Essenware,4.7,4  Reviews,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Lean six sigma Green Belt certification preferred (not mandatory) . Proficiency in Visi...,Six sigma green belt,Automation,Process mapping,Business Analyst,Agile,Software development life cycle,Pega,Visio,3 Days Ago,Data_Science_Analytics,2.0,,Kolkata
Big Data Engineer,Hexaware Technologies,3.7,4830  Reviews,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1 Azure databricks- Build Data Pipelines using ADB-Leveraging Python and Spark    Buil...,spark,Delta,SCALA,Healthcare,big data,Analytics,SQL,Python,3 Days Ago,Data_Science_Analytics,3.0,,Kolkata
Business Analyst,Essenware,4.7,4  Reviews,7-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",". bachelors Degree Computer / Information Science, Project management, Business Analysi...",Root cause analysis,Business Analyst,Business analysis,Data modeling,Enterprise applications,Project management,Process improvement,business case development,5 Days Ago,Data_Science_Analytics,7.0,,Kolkata
Big Data Engineer,Hexaware Technologies,3.7,4830  Reviews,5-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Supports Big Data and batch / real-time analytical solutions leveraging transformationa...,GCP,Analytical,Agile,Application development,SSIS,JIRA,big data,Analytics,6 Days Ago,Data_Science_Analytics,5.0,,Kolkata
